url,type
http://gojnox.boxtomarket.com/yxmvr3.html,phishing
http://www.kf25zx.com/images/?http://us.battle.net/login/en/http://www.toitoi.com.tw,phishing
http://edenmatrimoniroma.com/modules/mod_articles_categories/tmpl/dropbox/,phishing
https://www.music.aol.com/artist/flipsyde/2237556,legitimate
https://www.blackamericaweb.com/?q=content/kamala-harris-opponent-california-concedes,legitimate
http://redgamma.com/blog/profile/,phishing
https://www.fanbase.com/Mike-Sherrard,legitimate
http://academiah2o.comoficou.com.br/libraries/simplepie/babi/bb/camyo/procesing1.php,phishing
https://www.cfr.org/united-states/nuclear-power-expansion-challenges/p16886,legitimate
https://www.yelp.com/biz/universal-studios-hollywood-universal-city,legitimate
http://mymaryvilledentist.com/fileboxup/index.html,phishing
https://www.en.wikipedia.org/wiki/Nora_Denney,legitimate
http://aandgtrading.com/category_images/k2/source/bookmark/,phishing
https://www.gatewaylax.com/,legitimate
https://www.thehill.com/blogs/floor-action/senate/161471-reid-congress-out-of-our-minds-not-to-raise-debt-ceiling,legitimate
http://trenuletele.3x.ro/wtj96,phishing
https://www.fanbase.com/George-Pardos,legitimate
https://www.joshuamocle.wordpress.com/,legitimate
https://www.rottentomatoes.com/m/hercules_the_legendary_journeys_season_5/,legitimate
http://squeezeguru.com/castz/,phishing
https://www.ohio.com/lifestyle/peaceful-glen-has-violent-past-1.200777,legitimate
https://www.jamaica-gleaner.com/gleaner/20100127/ent/ent2.html,legitimate
http://blufftonmcdonalds.com/aero/connect_i.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&Email=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,phishing
http://www.mobilesuitervs.com/wp-admin/js/online/order.php?rand=13InboxLightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13InboxLight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=&.rand=13InboxLight.aspx?n=1774256418&fid=4#n=1252899642&fid=1&fav=1,phishing
https://www.absoluteastronomy.com/topics/Montreal_Expos,legitimate
https://www.askbiography.com/bio/Ella_Baker.html,legitimate
https://www.sites.google.com/site/eengurraae/home/-almanac-centrifuge,legitimate
https://www.en.wikipedia.org/wiki/Earl_Robinson_(ice_hockey),legitimate
https://www.whosdatedwho.com/tpx_4067796/francois-arnaud/,legitimate
https://www.biomedexperts.com/Profile.bme/367285/Dominique_Emilie,legitimate
http://xn----7sbk8affkahdc3a.xn--p1ai/wp-includes/fonts/cas.htm,phishing
https://www.en.wikipedia.org/wiki/Kat_Foster,legitimate
http://www.medicalcourses4u.com/forms/Courses/drop/,phishing
https://www.lovesosweet.niceboard.org/,legitimate
http://imperasti.com/plugins/cck_field_live/url_variable/assets/jooolma/,phishing
https://www.muenster-stickerei.de/trade1/LinkedIn.com/piled.php?email=jim@thejimburkefamily.com,phishing
https://www.plus.google.com/116043830878496555689,legitimate
https://www.frankmattauch.ifunnyblog.com/,legitimate
https://www.wwf.panda.org/?198012/Pulp-and-Paper-industry-still-damaging-key-tiger-territory-investigation-finds,legitimate
https://www.en.wikipedia.org/wiki/Uniontown_Speedway,legitimate
https://www.lilyandcompany.wordpress.com/,legitimate
http://www.barbscentrefordance.com/wp-content/paypal/paypal/home/paypal.php?action=billing_login=true&amp,phishing
https://www.baseballlibrary.com/ballplayers/player.php?name=Frank_ORourke_1891,legitimate
http://troop209.net/a2f6d0a7a3/paypal/,phishing
https://www.dougsavant.awardspace.com/,legitimate
https://www.youtube.com/watch?v=ws4NobWHHaU,legitimate
https://www.en.wikipedia.org/wiki/List_of_first_overall_Major_League_Soccer_draft_picks,legitimate
